"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
2.0,1.0,0.0,0.6135533452033997,"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.>>>>[[[[Hypothesis]]]]: The church has cracks in the ceiling.",0.0,0.6135533452033997,"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.>>>>[[[[Hypothesis]]]]: The church has cracks in the ceiling.","Skipped"
2.0,16.0,2.0,0.006745755672454834,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman is [[young]].",0.0,0.7369837760925293,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman is [[baby]].","Successful"
1.0,1.0,2.0,0.5272165536880493,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman is very happy.",2.0,0.5272165536880493,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman is very happy.","Skipped"
1.0,14.0,1.0,0.031149625778198242,"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.>>>>[[[[Hypothesis]]]]: The [[church]] is filled with song.",0.0,0.9999862313270569,"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.>>>>[[[[Hypothesis]]]]: The [[ymca]] is filled with song.","Successful"
0.0,42.0,0.0,0.08023005723953247,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman has been [[shot]].",1.0,0.9993473887443542,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.>>>>[[[[Hypothesis]]]]: The woman has been [[photographed]].","Successful"
1.0,152.0,1.0,0.013956904411315918,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A [[man]] poses in front of an ad.",0.0,0.9999287724494934,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A [[ape]] poses in front of an ad.","Successful"
2.0,152.0,2.0,0.001810610294342041,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A [[man]] poses in front of an ad for beer.",0.0,0.9988884329795837,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A [[ape]] poses in front of an ad for beer.","Successful"
0.0,314.0,0.0,0.35420018434524536,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A man [[walks]] by an ad.",1.0,0.9994150400161743,"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.>>>>[[[[Hypothesis]]]]: A man [[accompanies]] by an ad.","Successful"
2.0,163.0,2.0,0.09308856725692749,"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.>>>>[[[[Hypothesis]]]]: The statue is offensive and people are [[mad]] that it is on display.",0.0,0.9968199729919434,"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.>>>>[[[[Hypothesis]]]]: The statue is offensive and people are [[ferocious]] that it is on display.","Successful"
0.0,108.0,0.0,0.38074207305908203,"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.>>>>[[[[Hypothesis]]]]: Tons of [[people]] are gathered around the statue.",2.0,0.6007788181304932,"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.>>>>[[[[Hypothesis]]]]: Tons of [[folks]] are gathered around the statue.","Successful"
1.0,1.0,2.0,0.9964773058891296,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A Land Rover is splashing water as it crosses a river.",2.0,0.9964773058891296,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A Land Rover is splashing water as it crosses a river.","Skipped"
1.0,7.0,1.0,0.015675902366638184,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A [[vehicle]] is crossing a river.",0.0,0.999310314655304,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A [[tanker]] is crossing a river.","Successful"
0.0,2128.0,0.0,0.005021870136260986,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A [[sedan]] is [[stuck]] in the [[middle]] of a river.",1.0,0.9990842342376709,"[[[[Premise]]]]: A land rover is being driven across a river.>>>>[[[[Hypothesis]]]]: A [[automobile]] is [[adhered]] in the [[medium]] of a river.","Successful"
