"num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
5.0,1.0,0.3561550974845886,"the [[dangerous]] lives of altar boys' take on adolescence feels painfully true .",0.0,0.5204559564590454,"the [[risky]] lives of altar boys' take on adolescence feels painfully true ."
0.0,1.0,0.5130129456520081,"it would be interesting to hear from the other side , but in talk to her , the women are down for the count .",1.0,0.5130129456520081,"it would be interesting to hear from the other side , but in talk to her , the women are down for the count ."
0.0,1.0,0.5010199546813965,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .",1.0,0.5010199546813965,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable ."
15.0,1.0,0.002431213855743408,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels [[authentic]] .",0.0,0.8037378787994385,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels [[veritable]] ."
0.0,1.0,0.572515070438385,"the movie has an avalanche of eye-popping visual effects .",1.0,0.572515070438385,"the movie has an avalanche of eye-popping visual effects ."
6.0,1.0,0.0693671703338623,"it's fairly self-[[aware]] in its dumbness .",0.0,0.6451740264892578,"it's fairly self-[[mindful]] in its dumbness ."
0.0,1.0,0.7361973524093628,"ferrara directs the entire film with the kind of detachment that makes any given frame look like a family's custom-made christmas card .",1.0,0.7361973524093628,"ferrara directs the entire film with the kind of detachment that makes any given frame look like a family's custom-made christmas card ."
6.0,1.0,0.005954742431640625,"the [[perfect]] film for those who like sick comedies that can be snide .",0.0,0.8385012149810791,"the [[faultless]] film for those who like sick comedies that can be snide ."
0.0,1.0,0.6687886118888855,"occasionally , in the course of reviewing art-house obscurities and slam-bam action flicks , a jaded critic smacks into something truly new .",1.0,0.6687886118888855,"occasionally , in the course of reviewing art-house obscurities and slam-bam action flicks , a jaded critic smacks into something truly new ."
24.0,1.0,0.005743801593780518,"the story , like life , refuses to be simple , and the result is a [[compelling]] slice of awkward emotions .",0.0,0.5467835664749146,"the story , like life , refuses to be simple , and the result is a [[conclusive]] slice of awkward emotions ."
6.0,1.0,0.0426098108291626,""" the mothman prophecies "" is a [[difficult]] film to shake from your conscience when night falls .",0.0,0.5886807441711426,""" the mothman prophecies "" is a [[problematic]] film to shake from your conscience when night falls ."
