"num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
8.0,1.0,0.4158969521522522,"[[effective]] but too-tepid biopic",0.0,0.5985716581344604,"[[efficacious]] but too-tepid biopic"
57.0,1.0,0.00952690839767456,"if you [[sometimes]] like to go to the movies to have [[fun]] , [[wasabi]] is a [[good]] place to start .",0.0,0.6132886409759521,"if you [[intermittently]] like to go to the movies to have [[amusement]] , [[miso]] is a [[opportune]] place to start ."
78.0,1.0,0.0011255145072937012,"the [[rock]] is destined to be the 21st [[century]]'s [[new]] "" conan "" and that he's going to make a [[splash]] even [[greater]] than arnold schwarzenegger , jean-claud [[van]] damme or steven segal .",0.0,0.533995509147644,"the [[pebble]] is destined to be the 21st [[millenium]]'s [[novel]] "" conan "" and that he's going to make a [[spatter]] even [[most]] than arnold schwarzenegger , jean-claud [[truck]] damme or steven segal ."
88.0,1.0,0.0034494400024414062,"emerges as something [[rare]] , an issue movie that's [[so]] honest and [[keenly]] observed that it doesn't [[feel]] like one .",0.0,0.8916520476341248,"emerges as something [[scant]] , an issue movie that's [[hence]] honest and [[impatiently]] observed that it doesn't [[believe]] like one ."
33.0,1.0,0.013805747032165527,"[[offers]] that [[rare]] combination of entertainment and education .",0.0,0.5481245517730713,"[[offered]] that [[scant]] combination of entertainment and education ."
197.0,1.0,0.004031181335449219,"the gorgeously elaborate continuation of "" the [[lord]] of the [[rings]] "" trilogy is so [[huge]] that a column of words cannot adequately [[describe]] co-[[writer]]/[[director]] [[peter]] [[jackson]]'s [[expanded]] [[vision]] of j . [[r]] . r . tolkien's middle-[[earth]] .",0.0,0.7841835021972656,"the gorgeously elaborate continuation of "" the [[god]] of the [[circles]] "" trilogy is so [[heavy]] that a column of words cannot adequately [[outlined]] co-[[editor]]/[[warden]] [[pete]] [[harrison]]'s [[augment]] [[idea]] of j . [[rs]] . r . tolkien's middle-[[soils]] ."
72.0,1.0,0.006709456443786621,"perhaps no [[picture]] ever made has more literally showed that the [[road]] to [[hell]] is [[paved]] with good intentions .",0.0,0.5592866539955139,"perhaps no [[footage]] ever made has more literally showed that the [[heron]] to [[shit]] is [[surfaced]] with good intentions ."
145.0,1.0,0.003539144992828369,"the [[film]] [[provides]] some [[great]] insight into the neurotic [[mindset]] of all [[comics]] -- even those who [[have]] [[reached]] the [[absolute]] [[top]] of the game .",0.0,0.6543518304824829,"the [[movies]] [[offered]] some [[gargantuan]] insight into the neurotic [[psychotropic]] of all [[cartoons]] -- even those who [[did]] [[totalled]] the [[utter]] [[upper]] of the game ."
62.0,1.0,0.020573019981384277,"steers turns in a snappy screenplay that curls at the edges ; it's so [[clever]] you want to hate it . but he somehow [[pulls]] it off .",0.0,0.6305546164512634,"steers turns in a snappy screenplay that curls at the edges ; it's so [[shrewd]] you want to hate it . but he somehow [[withdrawals]] it off ."
56.0,1.0,0.004769027233123779,"what really [[surprises]] about wisegirls is its low-[[key]] quality and [[genuine]] [[tenderness]] .",0.0,0.5744096040725708,"what really [[dumbfounded]] about wisegirls is its low-[[vital]] quality and [[veritable]] [[sensibility]] ."
