"num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
151.0,1.0,0.4159166216850281,"[[effective]] but too-tepid biopic",0.0,0.5985809564590454,"[[efficacious]] but too-tepid biopic"
705.0,1.0,0.0034493207931518555,"[[emerges]] as something rare , an issue movie that's so [[honest]] and [[keenly]] observed that it doesn't feel like one .",0.0,0.8975391387939453,"[[appear]] as something rare , an issue movie that's so [[candid]] and [[impatiently]] observed that it doesn't feel like one ."
1411.0,1.0,0.009527146816253662,"if you [[sometimes]] like to go to the [[movies]] to have [[fun]] , wasabi is a [[good]] place to [[start]] .",0.0,0.8397029042243958,"if you [[intermittently]] like to go to the [[cinematographic]] to have [[droll]] , wasabi is a [[opportune]] place to [[boot]] ."
666.0,1.0,0.013805150985717773,"offers that [[rare]] [[combination]] of entertainment and education .",0.0,0.7140250205993652,"offers that [[scarce]] [[merge]] of entertainment and education ."
1328.0,1.0,0.0011255145072937012,"the [[rock]] is [[destined]] to be the 21st [[century]]'s new "" conan "" and that he's going to [[make]] a [[splash]] even [[greater]] than arnold schwarzenegger , [[jean]]-claud van damme or steven segal .",0.0,0.7821905016899109,"the [[pebble]] is [[intentioned]] to be the 21st [[millenium]]'s new "" conan "" and that he's going to [[render]] a [[splat]] even [[grander]] than arnold schwarzenegger , [[john]]-claud van damme or steven segal ."
1536.0,1.0,0.004031181335449219,"the gorgeously elaborate [[continuation]] of "" the [[lord]] of the rings "" trilogy is so [[huge]] that a column of words cannot adequately describe co-writer/director peter jackson's [[expanded]] [[vision]] of j . r . r . tolkien's middle-earth .",0.0,0.6825716495513916,"the gorgeously elaborate [[pursuit]] of "" the [[god]] of the rings "" trilogy is so [[heavy]] that a column of words cannot adequately describe co-writer/director peter jackson's [[augment]] [[idea]] of j . r . r . tolkien's middle-earth ."
1758.0,1.0,0.003539144992828369,"the [[film]] provides some [[great]] [[insight]] into the [[neurotic]] [[mindset]] of all comics -- even those who have reached the [[absolute]] top of the game .",0.0,0.6556172966957092,"the [[movies]] provides some [[gargantuan]] [[hunch]] into the [[narcissistic]] [[thinking]] of all comics -- even those who have reached the [[utter]] top of the game ."
660.0,1.0,0.020573019981384277,"steers turns in a snappy screenplay that curls at the edges ; it's so [[clever]] you want to hate it . but he somehow [[pulls]] it off .",0.0,0.6486514806747437,"steers turns in a snappy screenplay that curls at the edges ; it's so [[shrewd]] you want to hate it . but he somehow [[withdrew]] it off ."
1388.0,1.0,0.00670933723449707,"[[perhaps]] no [[picture]] ever [[made]] [[has]] more literally [[showed]] that the [[road]] to hell is paved with [[good]] intentions .",0.0,0.6832176446914673,"[[conceivably]] no [[visuals]] ever [[lodged]] [[had]] more literally [[identified]] that the [[routing]] to hell is paved with [[opportune]] intentions ."
630.0,1.0,0.0034134387969970703,"this is a film [[well]] worth [[seeing]] , [[talking]] and singing heads and all .",0.0,0.5312046408653259,"this is a film [[too]] worth [[believe]] , [[chatter]] and singing heads and all ."
